work_year,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,experience_label,employment_label,company_size_label,work_setting,salary_band,is_us_company,exp_order
2020,Data Scientist,79833,DE,0,DE,Mid-Level,Full-Time,Large,On-Site,50K-100K,0,2
2020,Machine Learning Scientist,260000,JP,0,JP,Senior,Full-Time,Small,On-Site,200K+,0,3
2020,Big Data Engineer,109024,GB,50,GB,Senior,Full-Time,Medium,Hybrid,100K-150K,0,3
2020,Product Data Analyst,20000,HN,0,HN,Mid-Level,Full-Time,Small,On-Site,<50K,0,2
2020,Machine Learning Engineer,150000,US,50,US,Senior,Full-Time,Large,Hybrid,100K-150K,1,3
2020,Data Analyst,72000,US,100,US,Entry-Level,Full-Time,Large,Remote,50K-100K,1,1
2020,Lead Data Scientist,190000,US,100,US,Senior,Full-Time,Small,Remote,150K-200K,1,3
2020,Data Scientist,35735,HU,50,HU,Mid-Level,Full-Time,Large,Hybrid,<50K,0,2
2020,Business Data Analyst,135000,US,100,US,Mid-Level,Full-Time,Large,Remote,100K-150K,1,2
2020,Lead Data Engineer,125000,NZ,50,NZ,Senior,Full-Time,Small,Hybrid,100K-150K,0,3
2020,Data Scientist,51321,FR,0,FR,Entry-Level,Full-Time,Small,On-Site,50K-100K,0,1
2020,Data Scientist,40481,IN,0,IN,Mid-Level,Full-Time,Large,On-Site,<50K,0,2
2020,Data Scientist,39916,FR,0,FR,Entry-Level,Full-Time,Medium,On-Site,<50K,0,1
2020,Lead Data Analyst,87000,US,100,US,Mid-Level,Full-Time,Large,Remote,50K-100K,1,2
2020,Data Analyst,85000,US,100,US,Mid-Level,Full-Time,Large,Remote,50K-100K,1,2
2020,Data Analyst,8000,PK,50,PK,Mid-Level,Full-Time,Large,Hybrid,<50K,0,2
2020,Data Engineer,41689,JP,100,JP,Entry-Level,Full-Time,Small,Remote,<50K,0,1
2020,Big Data Engineer,114047,PL,100,GB,Senior,Full-Time,Small,Remote,100K-150K,0,3
2020,Data Science Consultant,5707,IN,50,IN,Entry-Level,Full-Time,Medium,Hybrid,<50K,0,1
2020,Lead Data Engineer,56000,PT,100,US,Mid-Level,Full-Time,Medium,Remote,50K-100K,1,2
2020,Machine Learning Engineer,43331,CN,0,CN,Mid-Level,Full-Time,Medium,On-Site,<50K,0,2
2020,Product Data Analyst,6072,IN,100,IN,Mid-Level,Full-Time,Large,Remote,<50K,0,2
2020,Data Engineer,47899,GR,50,GR,Senior,Full-Time,Large,Hybrid,<50K,0,3
2020,BI Data Analyst,98000,US,0,US,Mid-Level,Full-Time,Medium,On-Site,50K-100K,1,2
2020,Lead Data Scientist,115000,AE,0,AE,Mid-Level,Full-Time,Large,On-Site,100K-150K,0,2
2020,Director of Data Science,325000,US,100,US,Executive,Full-Time,Large,Remote,200K+,1,4
2020,Research Scientist,42000,NL,50,NL,Entry-Level,Full-Time,Large,Hybrid,<50K,0,1
2020,Data Engineer,33511,MX,0,MX,Senior,Full-Time,Small,On-Site,<50K,0,3
2020,Business Data Analyst,100000,US,100,US,Entry-Level,Contract,Large,Remote,50K-100K,1,1
2020,Machine Learning Manager,117104,CA,50,CA,Senior,Full-Time,Large,Hybrid,100K-150K,0,3
2020,Data Engineering Manager,59303,DE,100,DE,Mid-Level,Full-Time,Small,Remote,50K-100K,0,2
2020,Big Data Engineer,70000,US,100,US,Entry-Level,Full-Time,Large,Remote,50K-100K,1,1
2020,Data Scientist,68428,GR,100,US,Senior,Full-Time,Large,Remote,50K-100K,1,3
2020,Research Scientist,450000,US,0,US,Mid-Level,Full-Time,Medium,On-Site,200K+,1,2
2020,Data Analyst,46759,FR,50,FR,Mid-Level,Full-Time,Large,Hybrid,<50K,0,2
2020,Data Engineer,74130,AT,50,AT,Mid-Level,Full-Time,Large,Hybrid,50K-100K,0,2
2020,Data Science Consultant,103000,US,100,US,Mid-Level,Full-Time,Large,Remote,100K-150K,1,2
2020,Machine Learning Engineer,250000,US,50,US,Entry-Level,Full-Time,Large,Hybrid,200K+,1,1
2020,Data Analyst,10000,NG,100,NG,Entry-Level,Full-Time,Small,Remote,<50K,0,1
2020,Machine Learning Engineer,138000,US,100,US,Entry-Level,Full-Time,Small,Remote,100K-150K,1,1
2020,Data Scientist,45760,PH,100,US,Mid-Level,Full-Time,Small,Remote,<50K,1,2
2020,Data Engineering Manager,79833,ES,50,ES,Executive,Full-Time,Large,Hybrid,50K-100K,0,4
2020,Machine Learning Infrastructure Engineer,50180,PT,0,PT,Mid-Level,Full-Time,Medium,On-Site,50K-100K,0,2
2020,Data Engineer,106000,US,100,US,Mid-Level,Full-Time,Large,Remote,100K-150K,1,2
2020,Data Engineer,112872,GB,50,GB,Mid-Level,Full-Time,Large,Hybrid,100K-150K,0,2
2020,ML Engineer,15966,DE,100,DE,Entry-Level,Part-Time,Small,Remote,<50K,0,1
2020,Data Scientist,76958,GB,100,GB,Mid-Level,Full-Time,Small,Remote,50K-100K,0,2
2020,Data Engineer,188000,US,100,US,Senior,Full-Time,Large,Remote,150K-200K,1,3
2020,Data Scientist,105000,US,100,US,Mid-Level,Full-Time,Large,Remote,100K-150K,1,2
2020,Data Engineer,70139,FR,50,FR,Mid-Level,Full-Time,Large,Hybrid,50K-100K,0,2
2020,Data Analyst,6072,IN,0,IN,Entry-Level,Full-Time,Small,On-Site,<50K,0,1
2020,Data Analyst,91000,US,100,US,Entry-Level,Full-Time,Large,Remote,50K-100K,1,1
2020,AI Scientist,45896,DK,50,DK,Entry-Level,Full-Time,Small,Hybrid,<50K,0,1
2020,Data Engineer,54742,PK,100,DE,Entry-Level,Full-Time,Large,Remote,50K-100K,0,1
2020,Computer Vision Engineer,60000,RU,100,US,Senior,Freelance,Small,Remote,50K-100K,1,3
2020,Principal Data Scientist,148261,DE,100,DE,Senior,Full-Time,Medium,Remote,100K-150K,0,3
2020,Data Scientist,38776,ES,100,ES,Mid-Level,Full-Time,Medium,Remote,<50K,0,2
2020,Data Scientist,118000,US,100,US,Mid-Level,Full-Time,Medium,Remote,100K-150K,1,2
2020,Data Scientist,120000,US,50,US,Senior,Full-Time,Large,Hybrid,100K-150K,1,3
2020,Data Scientist,138350,US,100,US,Mid-Level,Full-Time,Medium,Remote,100K-150K,1,2
2020,Data Engineer,110000,US,100,US,Mid-Level,Full-Time,Large,Remote,100K-150K,1,2
2020,Data Engineer,130800,ES,100,US,Mid-Level,Full-Time,Medium,Remote,100K-150K,1,2
2020,Data Scientist,21669,IT,50,IT,Entry-Level,Part-Time,Small,Hybrid,<50K,0,1
2020,Data Scientist,412000,US,100,US,Senior,Full-Time,Large,Remote,200K+,1,3
2020,Machine Learning Engineer,45618,HR,100,HR,Senior,Full-Time,Small,Remote,<50K,0,3
2020,Data Scientist,62726,DE,50,DE,Entry-Level,Full-Time,Small,Hybrid,50K-100K,0,1
2020,Data Scientist,49268,DE,0,DE,Entry-Level,Full-Time,Small,On-Site,<50K,0,1
2020,Data Science Manager,190200,US,100,US,Senior,Full-Time,Medium,Remote,150K-200K,1,3
2020,Data Scientist,105000,US,100,US,Entry-Level,Full-Time,Small,Remote,100K-150K,1,1
2020,Data Scientist,91237,AT,0,AT,Senior,Full-Time,Small,On-Site,50K-100K,0,3
2020,Data Scientist,62726,FR,50,LU,Mid-Level,Full-Time,Small,Hybrid,50K-100K,0,2
2020,Data Scientist,42197,FR,50,FR,Mid-Level,Full-Time,Small,Hybrid,<50K,0,2
2021,Research Scientist,82528,GB,50,GB,Entry-Level,Full-Time,Large,Hybrid,50K-100K,0,1
2021,BI Data Analyst,150000,IN,100,US,Executive,Full-Time,Large,Remote,100K-150K,1,4
2021,Head of Data,235000,US,100,US,Executive,Full-Time,Large,Remote,200K+,1,4
2021,Data Scientist,53192,FR,50,FR,Senior,Full-Time,Large,Hybrid,50K-100K,0,3
2021,BI Data Analyst,100000,US,100,US,Mid-Level,Full-Time,Medium,Remote,50K-100K,1,2
2021,3D Computer Vision Researcher,5409,IN,50,IN,Mid-Level,Part-Time,Medium,Hybrid,<50K,0,2
2021,ML Engineer,270000,US,100,US,Mid-Level,Contract,Large,Remote,200K+,1,2
2021,Data Analyst,80000,US,100,US,Entry-Level,Full-Time,Medium,Remote,50K-100K,1,1
2021,Data Analytics Engineer,79197,DE,100,DE,Senior,Full-Time,Large,Remote,50K-100K,0,3
2021,Data Engineer,140000,US,100,US,Mid-Level,Full-Time,Large,Remote,100K-150K,1,2
2021,Applied Data Scientist,54238,GB,50,CA,Mid-Level,Full-Time,Large,Hybrid,50K-100K,0,2
2021,Machine Learning Engineer,47282,ES,100,ES,Mid-Level,Full-Time,Small,Remote,<50K,0,2
2021,Director of Data Science,153667,IT,100,PL,Executive,Full-Time,Large,Remote,150K-200K,0,4
2021,Data Engineer,28476,PL,100,PL,Mid-Level,Full-Time,Large,Remote,<50K,0,2
2021,Data Analyst,59102,FR,50,FR,Entry-Level,Full-Time,Medium,Hybrid,50K-100K,0,1
2021,Data Analytics Engineer,110000,US,100,US,Mid-Level,Full-Time,Large,Remote,100K-150K,1,2
2021,Lead Data Analyst,170000,US,100,US,Senior,Full-Time,Large,Remote,150K-200K,1,3
2021,Data Analyst,80000,BG,100,US,Senior,Full-Time,Small,Remote,50K-100K,1,3
2021,Marketing Data Analyst,88654,GR,100,DK,Senior,Full-Time,Large,Remote,50K-100K,0,3
2021,Data Science Consultant,76833,DE,100,DE,Entry-Level,Full-Time,Small,Remote,50K-100K,0,1
2021,Lead Data Analyst,19609,IN,100,IN,Mid-Level,Full-Time,Large,Remote,<50K,0,2
2021,Lead Data Engineer,276000,US,0,US,Senior,Full-Time,Large,On-Site,200K+,1,3
2021,Data Scientist,29751,IN,50,IN,Entry-Level,Full-Time,Large,Hybrid,<50K,0,1
2021,Cloud Data Engineer,89294,SG,50,SG,Mid-Level,Full-Time,Large,Hybrid,50K-100K,0,2
2021,AI Scientist,12000,BR,100,US,Entry-Level,Part-Time,Small,Remote,<50K,1,1
2021,Financial Data Analyst,450000,US,100,US,Mid-Level,Full-Time,Large,Remote,200K+,1,2
2021,Computer Vision Software Engineer,70000,US,100,US,Entry-Level,Full-Time,Medium,Remote,50K-100K,1,1
2021,Computer Vision Software Engineer,95746,DE,100,US,Mid-Level,Full-Time,Small,Remote,50K-100K,1,2
2021,Data Analyst,75000,US,0,US,Mid-Level,Full-Time,Large,On-Site,50K-100K,1,2
2021,Data Engineer,150000,US,100,US,Senior,Full-Time,Large,Remote,100K-150K,1,3
2021,BI Data Analyst,36259,HU,50,US,Mid-Level,Full-Time,Large,Hybrid,<50K,1,2
2021,Data Analyst,62000,US,0,US,Mid-Level,Full-Time,Large,On-Site,50K-100K,1,2
2021,Data Scientist,73000,US,0,US,Mid-Level,Full-Time,Large,On-Site,50K-100K,1,2
2021,Data Analyst,51519,GB,50,GB,Mid-Level,Full-Time,Large,Hybrid,50K-100K,0,2
2021,Research Scientist,187442,CA,100,CA,Mid-Level,Full-Time,Large,Remote,150K-200K,0,2
2021,Data Engineer,115000,US,100,US,Senior,Full-Time,Small,Remote,100K-150K,1,3
2021,Data Engineer,150000,US,100,US,Senior,Full-Time,Medium,Remote,100K-150K,1,3
2021,Data Engineer,30428,IN,100,IN,Entry-Level,Full-Time,Large,Remote,<50K,0,1
2021,Machine Learning Engineer,94564,DE,50,DE,Senior,Full-Time,Large,Hybrid,50K-100K,0,3
2021,Director of Data Engineering,113476,GB,100,GB,Senior,Full-Time,Medium,Remote,100K-150K,0,3
2021,Lead Data Engineer,103160,GB,100,GB,Senior,Full-Time,Small,Remote,100K-150K,0,3
2021,AI Scientist,12000,PK,100,US,Entry-Level,Part-Time,Medium,Remote,<50K,1,1
2021,Data Engineer,45391,NL,100,NL,Mid-Level,Full-Time,Large,Remote,<50K,0,2
2021,Machine Learning Scientist,225000,US,100,US,Entry-Level,Full-Time,Large,Remote,200K+,1,1
2021,Data Scientist,50000,NG,100,NG,Mid-Level,Full-Time,Large,Remote,<50K,0,2
2021,Data Science Engineer,40189,GR,100,GR,Mid-Level,Full-Time,Medium,Remote,<50K,0,2
2021,Data Analyst,90000,US,100,US,Entry-Level,Full-Time,Small,Remote,50K-100K,1,1
2021,Data Engineer,200000,US,100,US,Mid-Level,Full-Time,Large,Remote,150K-200K,1,2
2021,Big Data Engineer,60000,ES,50,RO,Mid-Level,Full-Time,Medium,Hybrid,50K-100K,0,2
2021,Principal Data Engineer,200000,US,100,US,Senior,Full-Time,Medium,Remote,150K-200K,1,3
2021,Data Analyst,50000,US,100,US,Entry-Level,Full-Time,Medium,Remote,<50K,1,1
2021,Applied Data Scientist,110037,GB,0,GB,Entry-Level,Full-Time,Large,On-Site,100K-150K,0,1
2021,Data Analyst,10354,ES,50,ES,Entry-Level,Part-Time,Medium,Hybrid,<50K,0,1
2021,Principal Data Scientist,151000,US,100,US,Mid-Level,Full-Time,Large,Remote,150K-200K,1,2
2021,Machine Learning Scientist,120000,US,50,US,Senior,Full-Time,Small,Hybrid,100K-150K,1,3
2021,Data Scientist,9466,IN,0,IN,Mid-Level,Full-Time,Small,On-Site,<50K,0,2
2021,Machine Learning Engineer,20000,IN,100,IN,Entry-Level,Full-Time,Small,Remote,<50K,0,1
2021,Lead Data Scientist,40570,IN,50,IN,Senior,Full-Time,Large,Hybrid,<50K,0,3
2021,Machine Learning Developer,100000,IQ,50,IQ,Entry-Level,Full-Time,Small,Hybrid,50K-100K,0,1
2021,Data Scientist,49646,FR,50,FR,Entry-Level,Full-Time,Medium,Hybrid,<50K,0,1
2021,Applied Machine Learning Scientist,38400,VN,100,US,Mid-Level,Full-Time,Medium,Remote,<50K,1,2
2021,Computer Vision Engineer,24000,BR,100,BR,Senior,Full-Time,Medium,Remote,<50K,0,3
2021,Data Scientist,100000,US,0,US,Entry-Level,Full-Time,Small,On-Site,50K-100K,1,1
2021,Data Analyst,90000,US,100,US,Mid-Level,Full-Time,Medium,Remote,50K-100K,1,2
2021,ML Engineer,63711,JP,50,JP,Mid-Level,Full-Time,Small,Hybrid,50K-100K,0,2
2021,ML Engineer,77364,JP,50,JP,Mid-Level,Full-Time,Small,Hybrid,50K-100K,0,2
2021,Principal Data Scientist,220000,US,0,US,Senior,Full-Time,Large,On-Site,200K+,1,3
2021,Data Scientist,80000,US,100,US,Entry-Level,Full-Time,Medium,Remote,50K-100K,1,1
2021,Data Analyst,135000,US,100,US,Mid-Level,Full-Time,Large,Remote,100K-150K,1,2
2021,Data Science Manager,240000,US,0,US,Senior,Full-Time,Large,On-Site,200K+,1,3
2021,Data Engineering Manager,150000,US,0,US,Senior,Full-Time,Large,On-Site,100K-150K,1,3
2021,Data Scientist,82500,US,100,US,Mid-Level,Full-Time,Small,Remote,50K-100K,1,2
2021,Data Engineer,100000,US,100,US,Mid-Level,Full-Time,Large,Remote,50K-100K,1,2
2021,Machine Learning Engineer,82744,BE,50,BE,Senior,Full-Time,Medium,Hybrid,50K-100K,0,3
2021,Research Scientist,62649,FR,50,FR,Mid-Level,Full-Time,Medium,Hybrid,50K-100K,0,2
2021,Data Engineer,90000,US,100,US,Mid-Level,Full-Time,Large,Remote,50K-100K,1,2
2021,Data Engineering Manager,153000,US,100,US,Senior,Full-Time,Large,Remote,150K-200K,1,3
2021,Cloud Data Engineer,160000,BR,100,US,Senior,Full-Time,Small,Remote,150K-200K,1,3
2021,Director of Data Science,168000,JP,0,JP,Senior,Full-Time,Small,On-Site,150K-200K,0,3
2021,Data Scientist,150000,US,100,US,Mid-Level,Full-Time,Medium,Remote,100K-150K,1,2
2021,Data Scientist,75774,CA,100,CA,Mid-Level,Full-Time,Large,Remote,50K-100K,0,2
2021,Data Scientist,13400,UA,100,UA,Entry-Level,Full-Time,Large,Remote,<50K,0,1
2021,Data Science Manager,144000,US,100,US,Senior,Full-Time,Large,Remote,100K-150K,1,3
2021,Data Science Engineer,127221,CA,50,CA,Senior,Full-Time,Large,Hybrid,100K-150K,0,3
2021,Data Scientist,119059,SG,100,IL,Mid-Level,Full-Time,Medium,Remote,100K-150K,0,2
2021,Applied Machine Learning Scientist,423000,US,50,US,Mid-Level,Full-Time,Large,Hybrid,200K+,1,2
2021,Data Analytics Manager,120000,US,100,US,Senior,Full-Time,Medium,Remote,100K-150K,1,3
2021,Machine Learning Engineer,125000,US,100,US,Entry-Level,Full-Time,Small,Remote,100K-150K,1,1
2021,Head of Data,230000,RU,50,RU,Executive,Full-Time,Large,Hybrid,200K+,0,4
2021,Head of Data Science,85000,RU,0,RU,Executive,Full-Time,Medium,On-Site,50K-100K,0,4
2021,Data Engineer,28369,MT,50,MT,Mid-Level,Full-Time,Large,Hybrid,<50K,0,2
2021,Data Science Consultant,63831,DE,50,DE,Entry-Level,Full-Time,Large,Hybrid,50K-100K,0,1
2021,Director of Data Science,130026,DE,50,DE,Executive,Full-Time,Medium,Hybrid,100K-150K,0,4
2021,Data Specialist,165000,US,100,US,Senior,Full-Time,Large,Remote,150K-200K,1,3
2021,Data Engineer,80000,US,100,US,Entry-Level,Full-Time,Large,Remote,50K-100K,1,1
2021,Director of Data Science,250000,US,0,US,Executive,Full-Time,Large,On-Site,200K+,1,4
2021,BI Data Analyst,55000,US,50,US,Entry-Level,Full-Time,Small,Hybrid,50K-100K,1,1
2021,Data Architect,150000,US,100,US,Mid-Level,Full-Time,Large,Remote,100K-150K,1,2
2021,Data Architect,170000,US,100,US,Mid-Level,Full-Time,Large,Remote,150K-200K,1,2
2021,Data Engineer,82528,GB,100,GB,Mid-Level,Full-Time,Large,Remote,50K-100K,0,2
2021,Data Analyst,60000,US,100,US,Entry-Level,Full-Time,Small,Remote,50K-100K,1,1
2021,Principal Data Scientist,235000,US,100,US,Senior,Full-Time,Large,Remote,200K+,1,3
2021,Research Scientist,60757,PT,50,PT,Senior,Full-Time,Large,Hybrid,50K-100K,0,3
2021,Data Engineering Manager,174000,US,100,US,Senior,Full-Time,Large,Remote,150K-200K,1,3
2021,Data Scientist,2859,MX,0,MX,Mid-Level,Full-Time,Small,On-Site,<50K,0,2
2021,Data Scientist,40038,CL,100,CL,Mid-Level,Full-Time,Large,Remote,<50K,0,2
2021,Machine Learning Engineer,81000,US,50,US,Entry-Level,Full-Time,Small,Hybrid,50K-100K,1,1
2021,Data Scientist,5679,IN,100,US,Mid-Level,Full-Time,Small,Remote,<50K,1,2
2021,Big Data Engineer,22611,IN,0,IN,Mid-Level,Full-Time,Large,On-Site,<50K,0,2
2021,Data Scientist,90734,DE,50,DE,Mid-Level,Full-Time,Large,Hybrid,50K-100K,0,2
2021,Data Engineer,26005,RO,0,US,Mid-Level,Full-Time,Large,On-Site,<50K,1,2
2021,Finance Data Analyst,61896,GB,50,GB,Senior,Full-Time,Large,Hybrid,50K-100K,0,3
2021,Machine Learning Scientist,12000,PK,50,PK,Mid-Level,Freelance,Medium,Hybrid,<50K,0,2
2021,Data Engineer,4000,IR,100,IR,Mid-Level,Full-Time,Medium,Remote,<50K,0,2
2021,Data Analytics Engineer,50000,VN,100,GB,Senior,Full-Time,Medium,Remote,<50K,0,3
2021,Data Science Consultant,69741,FR,100,ES,Executive,Full-Time,Small,Remote,50K-100K,0,4
2021,Data Engineer,76833,RO,50,GB,Senior,Full-Time,Small,Hybrid,50K-100K,0,3
2021,Machine Learning Engineer,74000,JP,50,JP,Mid-Level,Full-Time,Small,Hybrid,50K-100K,0,2
2021,Data Science Manager,152000,US,100,FR,Senior,Full-Time,Large,Remote,150K-200K,0,3
2021,Machine Learning Engineer,21844,CO,50,CO,Entry-Level,Full-Time,Medium,Hybrid,<50K,0,1
2021,Big Data Engineer,18000,MD,0,MD,Mid-Level,Full-Time,Small,On-Site,<50K,0,2
2021,Data Science Manager,174000,US,100,US,Senior,Full-Time,Large,Remote,150K-200K,1,3
2021,Research Scientist,96113,CA,50,CA,Senior,Full-Time,Large,Hybrid,50K-100K,0,3
2021,Data Scientist,147000,US,50,US,Mid-Level,Full-Time,Large,Hybrid,100K-150K,1,2
2021,BI Data Analyst,9272,KE,100,KE,Entry-Level,Full-Time,Small,Remote,<50K,0,1
2021,Machine Learning Engineer,24342,IN,100,IN,Senior,Full-Time,Large,Remote,<50K,0,3
